zip;state;city;lat;lng
35966;AL;Flat Rock;34.807.598;-85.708.372
35967;AL;Fort Payne;34.436.792;-85.712.394
35971;AL;Fyffe;34.437.284;-85.928.849
35972;AL;Gallant;33.997.586;-86.234.606
35973;AL;Gaylesville;34.357.324;-85.558.893
35974;AL;Geraldine;34.343.864;-86.040.393
35975;AL;Groveoak;34.435.874;-86.040.023
35976;AL;Guntersville;3.432.193;-86.305.463
35978;AL;Henagar;34.618.604;-85.727.381
35979;AL;Higdon;34.873.247;-85.622.507
35980;AL;Horton;34.190.033;-86.317.318
35981;AL;Ider;34.735.059;-85.641.577
35983;AL;Leesburg;34.191.083;-8.577.051
35984;AL;Mentone;34.587.236;-85.577.728
35986;AL;Rainsville;34.498.884;-85.844.605
35987;AL;Steele;33.941.679;-86.228.929
35988;AL;Sylvania;34.558.962;-85.792.128
35989;AL;Valley Head;345.697;-85.627.208
36003;AL;Autaugaville;32.462.462;-86.714.938
36004;AL;Eufaula;31.786.701;-85.239.657
36005;AL;Banks;31.836.792;-85.799.844
36006;AL;Billingsley;32.610.578;-86.716.301
36009;AL;Brantley;31.570.963;-86.274.343
36010;AL;Brundidge;31.701.324;-85.817.668
36013;AL;Cecil;32.300.891;-86.011.241
36016;AL;Clayton;31.887.413;-85.450.932
36017;AL;Clio;3.168.521;-85.590.419
36022;AL;Deatsville;32.613.405;-86.338.211
36024;AL;Eclectic;3.265.419;-86.031.614
36025;AL;Elmore;32.545.378;-86.316.134
36026;AL;Equality;32.813.908;-86.105.064
36027;AL;Eufaula;31.905.063;-85.165.605
36028;AL;Dozier;31.506.614;-86.366.315
36029;AL;Fitzpatrick;32.151.607;-85.888.329
36030;AL;Forest Home;3.185.318;-86.786.377
36031;AL;Fort Davis;3.228.945;-85.700.688
36032;AL;Fort Deposit;31.995.979;-86.576.142
36033;AL;Georgiana;31.628.662;-86.733.965
36034;AL;Glenwood;31.664.143;-86.170.972
36035;AL;Goshen;3.182.497;-86.104.851
36036;AL;Grady;32.019.397;-86.129.246
36037;AL;Greenville;31.810.036;-86.622.919
36038;AL;Gantt;31.416.909;-86.419.836
36039;AL;Hardaway;32.312.939;-85.883.837
36040;AL;Hayneville;32.195.707;-86.654.994
36041;AL;Highland Home;31.928.292;-86.297.111
36042;AL;Honoraville;31.878.397;-86.398.064
36043;AL;Hope Hull;32.224.256;-86.393.189
36046;AL;Lapine;31.985.423;-86.278.534
36047;AL;Letohatchee;32.086.199;-86.488.013
36048;AL;Louisville;31.794.262;-85.558.062
36049;AL;Luverne;3.170.739;-86.256.601
36051;AL;Marbury;32.639.373;-86.510.138
36052;AL;Mathews;32.128.288;-86.041.262
36053;AL;Midway;3.209.552;-85.531.523
36054;AL;Millbrook;32.499.485;-86.364.125
36061;AL;Perote;32.003.459;-8.574.773
36064;AL;Pike Road;32.335.705;-8.609.589
36066;AL;Prattville;32.478.695;-8.642.997
36067;AL;Prattville;32.471.501;-86.483.072
